Feature,Importance
Credit_History,0.15555947646999033
DebtToIncomeRatio,0.1277791086335503
Incometoloanratio,0.12638228426793413
TotalIncome,0.12490793101410846
LoanAmount,0.10399985739636311
ApplicantIncome,0.10068811712266851
CoapplicantIncome,0.05892715293984465
Dependents,0.033288453397473876
Loan_Term_Years,0.029632347370367965
Loan_Amount_Term,0.02931647336603557
Property_Area_Semiurban,0.028509526249493655
Married_Yes,0.0203886637774309
Gender_Male,0.016495931743948592
Property_Area_Urban,0.015704055359731107
Education,0.015602602811110238
Self_Employed_Yes,0.01281801807994858
